# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
0.035         	(0.000000e+00 1.735940e-01 0.000000e+00)	(0.000000e+00 1.735940e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.879583e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.036         	(0.000000e+00 1.784702e-01 0.000000e+00)	(0.000000e+00 1.784702e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.872634e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.037         	(0.000000e+00 1.833393e-01 0.000000e+00)	(0.000000e+00 1.833393e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.865492e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.038         	(0.000000e+00 1.882012e-01 0.000000e+00)	(0.000000e+00 1.882012e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.858158e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.039         	(0.000000e+00 1.930556e-01 0.000000e+00)	(0.000000e+00 1.930556e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.850632e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.04          	(0.000000e+00 1.979024e-01 0.000000e+00)	(0.000000e+00 1.979024e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.842915e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.041         	(0.000000e+00 2.027414e-01 0.000000e+00)	(0.000000e+00 2.027414e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.835007e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.042         	(0.000000e+00 2.075724e-01 0.000000e+00)	(0.000000e+00 2.075724e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.826908e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.043         	(0.000000e+00 2.123952e-01 0.000000e+00)	(0.000000e+00 2.123952e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.818618e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.044         	(0.000000e+00 2.172097e-01 0.000000e+00)	(0.000000e+00 2.172097e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.810138e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
