# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
0.039         	(0.000000e+00 1.931987e-01 0.000000e+00)	(0.000000e+00 1.931987e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.858091e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.04          	(0.000000e+00 1.980530e-01 0.000000e+00)	(0.000000e+00 1.980530e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.850560e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.041         	(0.000000e+00 2.028997e-01 0.000000e+00)	(0.000000e+00 2.028997e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.842837e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.042         	(0.000000e+00 2.077386e-01 0.000000e+00)	(0.000000e+00 2.077386e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.834923e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.043         	(0.000000e+00 2.125694e-01 0.000000e+00)	(0.000000e+00 2.125694e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.826817e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.044         	(0.000000e+00 2.173921e-01 0.000000e+00)	(0.000000e+00 2.173921e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.818520e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.045         	(0.000000e+00 2.222064e-01 0.000000e+00)	(0.000000e+00 2.222064e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.810033e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.046         	(0.000000e+00 2.270121e-01 0.000000e+00)	(0.000000e+00 2.270121e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.801356e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.047         	(0.000000e+00 2.318090e-01 0.000000e+00)	(0.000000e+00 2.318090e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.792489e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.048         	(0.000000e+00 2.365970e-01 0.000000e+00)	(0.000000e+00 2.365970e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.783432e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.049         	(0.000000e+00 2.413758e-01 0.000000e+00)	(0.000000e+00 2.413758e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.774186e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
